,ORGANIZATION NAME,TOTAL FUNDING,TOTAL PROJECT,TOTAL PATENT,TOTAL PUBLICATON
4514,"BINNACLE BIOSCIENCES, LLC",1580674.0,2.0,0.0,3.0
4515,"NEOVAXSYN, INC.",1582311.0,6.0,0.0,0.0
4516,RIGAKU AMERICAS CORPORATION,1582374.0,3.0,0.0,0.0
4517,"REALSEQ BIOSCIENCES, INC.",1583700.0,3.0,0.0,0.0
4518,"SHAL TECHNOLOGIES, INC.",1583930.0,3.0,0.0,2.0
4519,"ZABBIO, INC.",1585211.0,2.0,0.0,0.0
4520,"FLUIDITY SOFTWARE, INC.",1588019.0,5.0,0.0,0.0
4521,EXBAQ LLC,1589097.0,3.0,0.0,2.0
4522,CALIFORNIA STATE UNIV BAKERSFIELD,1589801.0,5.0,0.0,0.0
4523,ARADIGM CORPORATION,1590241.0,4.0,2.0,1.0
4524,"VALANBIO THERAPEUTICS, INC.",1591745.0,2.0,0.0,0.0
4525,UNIVERSITY OF WISCONSIN EAU CLAIRE,1593141.0,4.0,0.0,9.0
4526,"RESTFUL JAW COMPANY, LLC",1593555.0,4.0,0.0,0.0
4527,"VOXIVA, INC.",1594483.0,3.0,0.0,4.0
4528,"QUASAR, INC.",1594526.0,4.0,0.0,2.0
4529,"LUMEN BIOSCIENCE, INC.",1596975.0,3.0,0.0,0.0
4530,"ALEO BME, INC.",1597198.0,4.0,0.0,0.0
4531,CALLA HEALTH FOUNDATION,1598006.0,3.0,0.0,0.0
4532,"RESEARCH CIRCLE ASSOCIATES, LLC",1599038.0,5.0,0.0,0.0
4533,"RIBONOVA, INC.",1599751.0,4.0,0.0,0.0
4534,MONTANA STATE UNIVERSITY -BILLINGS,1600174.0,5.0,0.0,4.0
4535,"PAINQX, INC.",1601137.0,3.0,0.0,0.0
4536,UPPSALA UNIVERSITY,1602127.0,5.0,0.0,36.0
4537,FLEXOMICS LLC,1602601.0,2.0,0.0,0.0
4538,"PRESSURE PROFILE SYSTEMS, INC.",1602799.0,3.0,0.0,0.0
4539,"SCANWELL HEALTH, INC.",1603081.0,2.0,0.0,0.0
4540,"WOEBOT LABS, INC.",1603687.0,5.0,0.0,1.0
4541,LNKCHEMSOLUTIONS,1603747.0,4.0,0.0,6.0
4542,CENTER FOR GENOMIC SCIENCES,1603831.0,4.0,0.0,17.0
4543,SAN RAFFAELE HOSPITAL,1605303.0,6.0,0.0,3.0
4544,"BIOLIGHT ENGINEERING, LLC",1605607.0,4.0,0.0,1.0
4545,DORDT COLLEGE,1606158.0,5.0,0.0,35.0
4546,"DIADEM US, INC.",1606227.0,1.0,0.0,0.0
4547,"SONAVI LABS, INC.",1606976.0,3.0,0.0,3.0
4548,COLLEGE AT GENESEO,1607749.0,5.0,0.0,7.0
4549,"DEVICEFARM, INC.",1608228.0,3.0,0.0,0.0
4550,"BROCKMAN-HASTINGS, LLC",1613253.0,4.0,0.0,0.0
4551,"PHARMATECH, INC.",1614622.0,2.0,0.0,0.0
4552,"SYNTHASOME, INC.",1615393.0,2.0,0.0,1.0
4553,"BRIGHTSPEC, INC.",1615572.0,2.0,0.0,0.0
4554,"BLACKTHORN THERAPEUTICS, INC.",1617097.0,4.0,0.0,0.0
4555,"EMBEDRF, LLC",1618210.0,5.0,0.0,4.0
4556,"APIS THERAPEUTICS, LLC",1619680.0,2.0,0.0,1.0
4557,"ACLARIS MEDICAL, LLC",1624337.0,5.0,2.0,0.0
4558,"STC BIOLOGICS, INC",1625820.0,5.0,0.0,0.0
4559,"XIGEN, LLC",1625847.0,7.0,0.0,2.0
4560,"ALZECA BIOSCIENCES, INC.",1626019.0,2.0,0.0,0.0
4561,"ENDOMEDIX, INC.",1627473.0,3.0,0.0,0.0
4562,"THRUST INTERACTIVE, INC.",1627726.0,3.0,0.0,0.0
4563,PACE UNIVERSITY NEW YORK,1628132.0,5.0,0.0,5.0
4564,"INVIVO SCIENCES, LLC.",1628188.0,3.0,0.0,9.0
4565,IMMUNARTES LLC,1630846.0,3.0,0.0,0.0
4566,"ZACHARON PHARMACEUTICALS, INC.",1631756.0,3.0,0.0,2.0
4567,"VIROGENOMICS, INC.",1631779.0,3.0,0.0,17.0
4568,"THERMIMAGE, INC.",1631788.0,3.0,0.0,1.0
4569,"ALGOMEDIX, INC.",1635704.0,4.0,0.0,0.0
4570,MALARIA VACCINE DEVELOPMENT CENTER,1638069.0,4.0,0.0,1.0
4571,"SECURBORATION, INC.",1640997.0,3.0,0.0,0.0
4572,"ODYSSEY SCIENCE INNOVATIONS, LLC",1641138.0,4.0,0.0,2.0
4573,"HURA IMAGING, INC",1642292.0,2.0,0.0,1.0
4574,"ACEPRE, LLC",1644574.0,7.0,0.0,5.0
4575,"ACCELEREYES, LLC",1645192.0,4.0,0.0,0.0
4576,"BRIO DEVICE, LLC",1647434.0,4.0,0.0,0.0
4577,"KESTREL LABS, INC.",1648062.0,5.0,5.0,2.0
4578,"CAPELLA IMAGING, LLC",1648725.0,3.0,0.0,1.0
4579,"UROLOGY DIAGNOSTICS, INC.",1648973.0,3.0,0.0,0.0
4580,"NEXOGEN, INC.",1649919.0,5.0,0.0,0.0
4581,"ADVINOW, INC.",1649998.0,3.0,0.0,0.0
4582,"BRACHYFOAM, LLC",1650000.0,3.0,0.0,0.0
4583,NATIONAL RESEARCH COUNCIL OF ARGENTINA,1650612.0,13.0,0.0,22.0
4584,"XCELL SCIENCE, INC.",1655116.0,3.0,0.0,1.0
4585,"BERKELEY ANALYTICS, INC.",1655670.0,3.0,0.0,3.0
4586,ARKANSAS STATE UNIVERSITY,1655922.0,6.0,1.0,1.0
4587,"CLARITY, LLC",1656458.0,2.0,0.0,0.0
4588,PRINCE OF SONGKLA UNIVERSITY,1656520.0,7.0,0.0,22.0
4589,"NANONC, INC.",1657588.0,5.0,0.0,4.0
4590,"SERINA THERAPEUTICS, INC.",1658634.0,1.0,0.0,0.0
4591,ISTOVISR,1659578.0,2.0,0.0,0.0
4592,CALIFORNIA STATE UNIVERSITY CHICO,1659929.0,5.0,0.0,8.0
4593,"INTELLIWHEELS, INC.",1660634.0,3.0,0.0,3.0
4594,"VASGENE THERAPEUTICS, INC",1663132.0,4.0,0.0,17.0
4595,"TECHNOLOGY ASSESSMENT AND TRANSFER, INC.",1664096.0,3.0,0.0,1.0
4596,COLLIGA APPS CORP.,1664265.0,4.0,0.0,0.0
4597,"EVAS THERAPEUTICS, LLC.",1665615.0,3.0,0.0,2.0
4598,"ALLTRANZ, INC.",1667541.0,4.0,0.0,12.0
4599,"SQUARE2 SYSTEMS, INC.",1668020.0,3.0,0.0,0.0
4600,FRESHAIR SENSOR CORPORATION,1668181.0,4.0,0.0,0.0
4601,"ALGORITHMRX, LLC",1669362.0,3.0,0.0,0.0
4602,"BOULDER CARE, INC.",1671725.0,3.0,0.0,0.0
4603,REGENOSINE INC,1671789.0,2.0,0.0,0.0
4604,"TETRAGENETICS, INC.",1673267.0,3.0,0.0,0.0
4605,LIV LABS INC.,1673987.0,2.0,0.0,0.0
4606,YUMA THERAPEUTICS CORPORATION,1674336.0,3.0,0.0,0.0
4607,"ROCHAL INDUSTRIES, LLC",1676639.0,3.0,0.0,0.0
4608,"GENTUITY, LLC",1676679.0,4.0,0.0,8.0
4609,"HABIT DESIGN, INC.",1677591.0,3.0,0.0,0.0
4610,"CALIFORNIA STATE UNIV,  MONTEREY BAY",1677979.0,7.0,0.0,0.0
4611,UNIVERSITY OF TENNESSEE CHATTANOOGA,1678506.0,10.0,0.0,9.0
4612,DOUBLE HELIX OPTICS INC.,1678789.0,3.0,0.0,0.0
4613,ITHACA COLLEGE,1679955.0,9.0,0.0,8.0
4614,"RADECT, INC.",1679983.0,3.0,1.0,0.0
4615,"FISCHER IMAGING, INC.",1679998.0,5.0,0.0,2.0
4616,"ZSX MEDICAL, LLC",1681054.0,2.0,0.0,0.0
4617,"PHUSIS THERAPEUTICS, INC.",1684634.0,5.0,0.0,0.0
4618,"ARRHYTHMOTECH, LLC",1685110.0,3.0,0.0,61.0
4619,"ALDENEX VISION, LLC",1685387.0,3.0,0.0,0.0
4620,CONSIGLIO NAZIONALE DELLE RICERCHE,1685434.0,2.0,0.0,0.0
4621,"REGULONIX, LLC",1685692.0,5.0,0.0,8.0
4622,"RETHINK MEDICAL, INC.",1687732.0,3.0,0.0,0.0
4623,"BRAIN SOLUTIONS, LLC",1688473.0,3.0,0.0,1.0
4624,"PAASP US, LLC",1688500.0,3.0,0.0,0.0
4625,"NEURO KINETICS, INC.",1689456.0,5.0,0.0,4.0
4626,"NEW MEXICO CONSORTIUM, INC.",1689792.0,7.0,0.0,15.0
4627,"CAPTURE PHARMACEUTICALS, INC",1689997.0,3.0,0.0,3.0
4628,SHAW UNIVERSITY,1691053.0,8.0,0.0,1.0
4629,"RADIX PHARMACEUTICALS, INC.",1691084.0,3.0,8.0,2.0
4630,MOSAIC LOFT,1691600.0,4.0,0.0,0.0
4631,"IONOPTIX, LLC",1691961.0,3.0,0.0,0.0
4632,"SEATOX RESEARCH, INC.",1692314.0,3.0,0.0,1.0
4633,"NOVICI BIOTECH, LLC",1692846.0,3.0,0.0,3.0
4634,"CHAMPAIGN IMAGING, LLC",1693200.0,4.0,0.0,0.0
4635,"DIGITAL ARTEFACTS, LLC",1693223.0,6.0,0.0,0.0
4636,MARTINGALE RESEARCH CORPORATION,1694200.0,6.0,0.0,2.0
4637,"MITOTHERAPEUTIX, LLC",1695502.0,4.0,0.0,1.0
4638,MISSOURI UNIVERSITY OF SCIENCE & TECHNOLOGY,1696211.0,9.0,1.0,11.0
4639,"WICKED DEVICE, LLC",1697944.0,3.0,0.0,0.0
4640,"RAM MEDICAL INNOVATIONS, INC.",1698229.0,2.0,0.0,0.0
4641,"RESTOREAR DEVICES, LLC",1699323.0,3.0,0.0,0.0
4642,CURE NETWORK DOLBY ACCELERATION PARTNERS LLC,1699323.0,2.0,0.0,0.0
4643,"ECHELON BIOSCIENCES, INC.",1699862.0,6.0,0.0,0.0
4644,ALLELE BIOTECHNOLOGY AND PHARMACEUTICALS,1700169.0,8.0,0.0,2.0
4645,COUNTERVAIL CORPORATION,1700318.0,3.0,0.0,2.0
4646,"ALLELE DIAGNOSTICS, INC.",1700400.0,3.0,0.0,0.0
4647,"SELFA, INC.",1700717.0,3.0,0.0,0.0
4648,"ORTHOLEVO, INC.",1701141.0,2.0,0.0,0.0
4649,"TENEOBIO, INC.",1701500.0,6.0,0.0,1.0
4650,"ANEUVAS TECHNOLOGIES, INC.",1702357.0,3.0,0.0,0.0
4651,"BLEEP, LLC",1702819.0,2.0,0.0,0.0
4652,"GREENMARK BIOMEDICAL, INC.",1704542.0,3.0,0.0,0.0
4653,CELLFE INC.,1704707.0,4.0,0.0,1.0
4654,DENVER RESEARCH INSTITUTE,1704799.0,9.0,0.0,29.0
4655,"HYDRO-GEN, LLC",1705828.0,4.0,0.0,0.0
4656,"SCITE, INC.",1706139.0,3.0,0.0,4.0
4657,"SONNEST, INC.",1707452.0,2.0,0.0,0.0
4658,"ALA SCIENTIFIC INSTRUMENTS, INC.",1707492.0,3.0,0.0,2.0
4659,ATOM BIOWORKS INC,1707963.0,2.0,0.0,0.0
4660,"EXESALIBERO, INC.",1708950.0,4.0,0.0,2.0
4661,"LUMITEX, INC.",1709120.0,3.0,0.0,0.0
4662,"ENDURX PHARMACEUTICALS, INC.",1709711.0,3.0,0.0,4.0
4663,"ONECYTE BIOTECHNOLOGIES, INC.",1710528.0,2.0,0.0,0.0
4664,"HUMANITAS, INC.",1710758.0,6.0,0.0,0.0
4665,"PROGENTEC DIAGNOSTICS, INC.",1710866.0,3.0,0.0,1.0
4666,"AMPLO BIOTECHNOLOGY, INC.",1712656.0,2.0,0.0,0.0
4667,"SPINAL SINGULARITY, INC.",1713616.0,3.0,16.0,0.0
4668,"FLOBIO, LLC",1714178.0,3.0,0.0,0.0
4669,"THEYFIT, LLC",1715651.0,3.0,0.0,7.0
4670,ACMA SOCIAL MARKETING,1717089.0,5.0,0.0,0.0
4671,"FALCON THERAPEUTICS, INC.",1718077.0,3.0,0.0,0.0
4672,"LIGHTHAUS, INC.",1718805.0,3.0,0.0,0.0
4673,"JINGA-HI, INC.",1719144.0,3.0,0.0,0.0
4674,"SIAMAB THERAPEUTICS, INC.",1719245.0,2.0,0.0,2.0
4675,"WIDETRONIX, INC.",1719468.0,3.0,0.0,0.0
4676,STRATHMORE UNIVERSITY,1719892.0,3.0,0.0,0.0
4677,QUEL IMAGING LLC,1720194.0,4.0,0.0,1.0
4678,KANSAS CITY CLINICAL ONCOLOGY PROGRAM,1720957.0,4.0,0.0,147.0
4679,"MMJ LABS, LLC",1721959.0,3.0,0.0,0.0
4680,"LUMEDICA, INC.",1722968.0,6.0,0.0,0.0
4681,CEL-SCI CORPORATION,1722973.0,3.0,0.0,8.0
4682,TOLEDO COMMUNITY HOSPITAL ONCOLOGY PROG,1723488.0,3.0,0.0,135.0
4683,"SOUND LIFE SCIENCES, INC.",1723510.0,3.0,0.0,0.0
4684,"MERCURY BIOMED, LLC",1723909.0,3.0,0.0,0.0
4685,"VIVOR, LLC",1724086.0,3.0,0.0,3.0
4686,"LUCENDI, INC.",1724511.0,3.0,0.0,0.0
4687,"BRITESEED, LLC",1724534.0,4.0,0.0,0.0
4688,"EVESTRA, INC.",1724644.0,3.0,0.0,3.0
4689,INVENIO IMAGING INC.,1724797.0,3.0,0.0,4.0
4690,"SCITECH STRATEGIES, INC.",1724871.0,2.0,0.0,0.0
4691,"UHV TECHNOLOGIES, INC.",1724905.0,3.0,0.0,0.0
4692,NEW IRIDIUM,1724922.0,3.0,0.0,0.0
4693,"KAPS BIOTECH, INC.",1724998.0,4.0,0.0,0.0
4694,"DENOVOTHERAPIES, LLC",1725000.0,3.0,0.0,3.0
4695,"INNOVATIVE BIOCHIPS, LLC",1725000.0,3.0,0.0,7.0
4696,"SWALLOW SOLUTIONS, LLC",1725000.0,3.0,2.0,0.0
4697,"CAREVIVE SYSTEMS, INC.",1725000.0,2.0,0.0,0.0
4698,"CELLOPTIC, INC.",1725479.0,3.0,0.0,4.0
4699,"SAB CAPRA, LLC",1726157.0,3.0,0.0,1.0
4700,ORGANIZER,1726367.0,3.0,0.0,1.0
4701,SCOTT AND WHITE MEMORIAL HOSPITAL,1726440.0,6.0,4.0,130.0
4702,DOMINICAN UNIVERSITY,1726774.0,7.0,0.0,14.0
4703,"PRETEL, INC.",1727781.0,3.0,0.0,0.0
4704,"SHARKLET TECHNOLOGIES, INC.",1727879.0,4.0,0.0,2.0
4705,"KHLORIS BIOSCIENCES, INC.",1728439.0,1.0,0.0,0.0
4706,"CLINITECH, LLC",1728559.0,3.0,0.0,0.0
4707,CLAFLIN UNIVERSITY,1728766.0,7.0,0.0,0.0
4708,LENTIGEN CORPORATION,1729819.0,1.0,0.0,1.0
4709,21MEDTECH LLC,1730751.0,1.0,0.0,0.0
4710,"ION CHANNEL INNOVATIONS, LLC",1730842.0,4.0,0.0,1.0
4711,"SYNAPTOGENIX, INC.",1732392.0,1.0,0.0,0.0
4712,"GLOBIN SOLUTIONS, INC.",1733830.0,3.0,0.0,0.0
4713,"CALIMETRIX, LLC",1734282.0,4.0,0.0,19.0
4714,GEORGE INSTITUTE CHINA,1735756.0,5.0,0.0,4.0
4715,"ARCHER PHARMACEUTICALS, INC.",1736317.0,3.0,0.0,0.0
4716,"SYNCHRO MOTION, LLC",1736379.0,4.0,0.0,1.0
4717,MONTANA TECH OF THE UNIVOF MONTANA,1737040.0,7.0,0.0,0.0
4718,"AXONIS, INC.",1738875.0,4.0,0.0,0.0
4719,"NANO BIOTHERAPEUTICS, INC.",1739877.0,2.0,0.0,4.0
4720,BIOMEDICAL ACOUSTICS RESEARCH COMPANY,1740553.0,5.0,7.0,1.0
4721,"SINGLETO2 THERAPEUTICS, LLC",1740972.0,4.0,0.0,2.0
4722,CENTRE FOR CHRONIC DISEASE CONTROL,1741220.0,9.0,0.0,62.0
4723,"BODIMOJO, INC",1743447.0,5.0,0.0,9.0
4724,"MINDLIGHT, LLC",1744074.0,2.0,0.0,2.0
4725,"EARLYDIAGNOSTICS, INC.",1744849.0,3.0,0.0,0.0
4726,"INTEGRATED PROTEIN TECHNOLOGIES, INC.",1745113.0,5.0,2.0,1.0
4727,"PINMED, INC.",1747538.0,6.0,6.0,1.0
4728,"VOLUMETRIX, LLC",1748329.0,3.0,0.0,1.0
4729,"BRITEBIO, INC.",1748997.0,4.0,0.0,0.0
4730,"AURORA ONCOLOGY, INC.",1749693.0,4.0,0.0,1.0
4731,"SILBIOTECH, INC.",1749821.0,3.0,0.0,0.0
4732,"TRAVERSE BIOSCIENCES, INC.",1749938.0,4.0,0.0,8.0
4733,"PLAKOUS THERAPEUTICS, INC.",1750636.0,3.0,0.0,0.0
4734,"OMICIA, INC.",1752428.0,3.0,0.0,15.0
4735,"CURL BIO, LLC",1752467.0,3.0,0.0,1.0
4736,"PNA INNOVATIONS, INC.",1753781.0,5.0,0.0,4.0
4737,"INHERENT TARGETING, LLC",1756300.0,3.0,0.0,0.0
4738,"IBIOLOGY, INC.",1756356.0,3.0,0.0,1.0
4739,NEW YORK HALL OF SCIENCE,1758251.0,8.0,0.0,0.0
4740,BIOTECHNICAL SERVICES INC,1758464.0,1.0,0.0,0.0
4741,"NEURXSTEM, INC.",1758659.0,3.0,0.0,0.0
4742,"GLYCOMANTRA, INC.",1761888.0,7.0,0.0,2.0
4743,"SENSORIIS, INC.",1763071.0,3.0,0.0,3.0
4744,"KIYATEC, INC.",1763886.0,2.0,0.0,0.0
4745,"SONATA BIOSCIENCES, INC.",1764106.0,6.0,0.0,1.0
4746,"JUPITER ORPHAN THERAPEUTICS, INC.",1764270.0,1.0,0.0,0.0
4747,HEALTH STRATEGY AND POLICY INSTITUTE,1764656.0,6.0,0.0,4.0
4748,"CONNECTING HEALTH INNOVATIONS, LLC",1765675.0,3.0,0.0,135.0
4749,"DATA NUMERICA INSTITUTE, INC.",1766819.0,4.0,0.0,9.0
4750,ALZHEIMER'S ASSOCIATION,1767751.0,11.0,0.0,3.0
4751,"COGNOSCI, INC.",1768813.0,7.0,0.0,4.0
4752,Q-TRACK CORPORATION,1770704.0,7.0,0.0,0.0
4753,"CONVERGENT ENGINEERING, INC.",1772160.0,4.0,0.0,1.0
4754,"TRICOL BIOMEDICAL, INC.",1773365.0,3.0,0.0,0.0
4755,MURDOCH CHILDREN'S RESEARCH INSTITUTE,1774099.0,6.0,0.0,37.0
4756,CHILDREN'S HOSPITALS AND CLINICS,1774102.0,6.0,0.0,6.0
4757,"ONEXIO BIOSYSTEMS, LLC",1775000.0,3.0,0.0,0.0
4758,"BRAINSYMPHONICS, LLC",1775212.0,3.0,0.0,4.0
4759,LIFFT COMPANY,1777138.0,5.0,0.0,0.0
4760,E25BIO,1777721.0,3.0,0.0,0.0
4761,"ABT MOLECULAR IMAGING, INC.",1777977.0,3.0,0.0,0.0
4762,"DXTERITY DIAGNOSTICS, INC.",1778648.0,2.0,0.0,0.0
4763,CENTER FOR INNOVATIVE PUBLIC HEALTH RES,1784149.0,4.0,0.0,2.0
4764,"INFRARED RX, INC.",1784593.0,5.0,0.0,2.0
4765,"REVEAL BIOSCIENCES, INC.",1784992.0,6.0,0.0,0.0
4766,"MARVEL MEDTECH, LLC",1786201.0,3.0,0.0,0.0
4767,"NEUROENE THERAPEUTICS, LLC",1786252.0,4.0,0.0,4.0
4768,GRAMBLING STATE UNIVERSITY,1787306.0,6.0,0.0,5.0
4769,"TAMBO, INC. ",1788832.0,3.0,0.0,0.0
4770,"TRANSGENOMIC, INC.",1790022.0,4.0,0.0,1.0
4771,COLLEGE OF ENVIRONMENTAL SCI & FORESTRY,1791177.0,9.0,0.0,13.0
4772,"RENOVION, INC.",1791392.0,2.0,0.0,0.0
4773,"INTEGRATED RESEARCH ASSOCIATES, LLC",1792785.0,2.0,0.0,0.0
4774,"ROCHAL INDUSTRIES, LLP",1792963.0,5.0,0.0,0.0
4775,"CADUCEUS WIRELESS, INC.",1795542.0,3.0,0.0,0.0
4776,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,1795741.0,9.0,2.0,38.0
4777,"SYNSPIRA THERAPEUTICS, INC.",1796643.0,1.0,0.0,0.0
4778,"CYTOSITE BIOPHARMA, INC.",1798033.0,3.0,0.0,0.0
4779,"BIOGRAPHICS, INC.",1798700.0,4.0,0.0,3.0
4780,"TIETRONIX SOFTWARE, INC.",1798700.0,6.0,0.0,0.0
4781,"MFLUIDX, INC.",1798822.0,3.0,0.0,0.0
4782,ADVANCED CYTOMETRY INSTRUMENTATION SYS,1799353.0,5.0,2.0,8.0
4783,"CUROVERSE, INC.",1799894.0,4.0,0.0,0.0
4784,EMERGENT BIOSOLUTIONS,1800202.0,2.0,0.0,3.0
4785,"SPARK2FLAME, INC.",1800881.0,4.0,0.0,3.0
4786,"CAKTUS CONSULTING GROUP, LLC",1801422.0,4.0,0.0,4.0
4787,CANCER RESEARCH UNITED KINGDOM,1801614.0,4.0,0.0,0.0
4788,"CINDER BIOLOGICAL, INC.",1801620.0,3.0,0.0,0.0
4789,"ROSE RESEARCH CENTER, LLC",1803853.0,3.0,0.0,0.0
4790,BARRY UNIVERSITY,1804108.0,8.0,0.0,17.0
4791,SUSTAINABLE SCIENCES INSTITUTE,1804228.0,11.0,0.0,52.0
4792,"PANDOMEDX, INC.",1804305.0,3.0,0.0,2.0
4793,HIGH POINT UNIVERSITY,1804843.0,7.0,0.0,6.0
4794,ADVENTIUM ENTERPRISES,1805551.0,5.0,0.0,2.0
4795,ONCOLOGY-HEMATOLOGY ASSOC-CENTRAL ILL,1806635.0,3.0,0.0,162.0
4796,"NEUROMUSCULAR DYNAMICS, LLC",1809208.0,4.0,0.0,0.0
4797,"RIBOMETRIX, LLC",1811527.0,8.0,0.0,1.0
4798,"NANOHMICS, INC.",1812674.0,7.0,0.0,0.0
4799,"LAYERBIO, INC.",1812902.0,6.0,0.0,1.0
4800,"ROCKSTEP SOLUTIONS, INC.",1814334.0,4.0,0.0,0.0
4801,"SANGUINA, LLC",1815633.0,6.0,0.0,0.0
4802,"SUBTLE MEDICAL, INC.",1815697.0,4.0,0.0,1.0
4803,NATIONAL COLLEGE OF NATURAL MEDICINE,1817728.0,7.0,0.0,12.0
4804,"NE SCIENTIFIC, LLC",1820553.0,6.0,2.0,0.0
4805,"SONOVOL, LLC",1820735.0,6.0,0.0,0.0
4806,"XORAN TECHNOLOGIES, INC.",1820987.0,3.0,2.0,0.0
4807,"ONCONANO MEDICINE, INC.",1821005.0,5.0,0.0,1.0
4808,ADAPTIVE BIOTECHNOLOGIES CORPORATION,1821967.0,3.0,0.0,0.0
4809,"LAUNCHPAD MEDICAL, LLC",1822958.0,3.0,0.0,1.0
4810,"PHENOVISTA BIOSCIENCES, LLC",1824150.0,4.0,0.0,0.0
4811,ADELPHI UNIVERSITY,1824221.0,10.0,0.0,22.0
4812,OREGON LAW CENTER,1826152.0,4.0,0.0,2.0
4813,"BIOSTAGE, INC.",1826710.0,3.0,0.0,0.0
4814,"WISER SYSTEMS, LLC",1828107.0,4.0,0.0,0.0
4815,TEL-AVIV SOURASKY MEDICAL CENTER,1829502.0,4.0,0.0,16.0
4816,"IMANIS LIFE SCIENCES, LLC",1831730.0,4.0,0.0,11.0
4817,"ALLIANCE DISCOVERY, INC.",1835930.0,3.0,0.0,0.0
4818,"DESIGN CONCEPTS, INC",1837045.0,3.0,0.0,0.0
4819,"MICROSURGICAL INNOVATIONS, INC.",1837508.0,4.0,0.0,1.0
4820,"VOXELERON, LLC",1838470.0,3.0,0.0,0.0
4821,"RGENIX, INC.",1838914.0,3.0,0.0,1.0
4822,GREATER LOS ANGELES VETERANS RESEARCH AND EDUCATION FOUNDATION,1841759.0,3.0,0.0,0.0
4823,"FGH BIOTECH, INC.",1841949.0,3.0,2.0,0.0
4824,"AXOSIM, INC.",1844584.0,6.0,0.0,9.0
4825,"STINGINN, LLC",1845144.0,4.0,0.0,0.0
4826,OSCIFLEX LLC,1847805.0,3.0,0.0,0.0
4827,"TASSO, INC.",1847823.0,7.0,0.0,0.0
4828,"CANCURE, LLC",1849973.0,4.0,0.0,2.0
4829,"FIVE ELEVEN PHARMA, INC.",1850935.0,5.0,0.0,10.0
4830,"IXPRESSGENES, INC.",1851783.0,5.0,0.0,30.0
4831,"CLICK DIAGNOSTICS, INC.",1852508.0,3.0,0.0,0.0
4832,"LIFECANVAS TECHNOLOGIES, INC.",1854037.0,6.0,0.0,0.0
4833,"LOCKHEED MARTIN MGMT  SYS DESIGNERS, INC",1854870.0,2.0,0.0,0.0
4834,"WASATCH PHOTONICS, INC.",1855063.0,5.0,0.0,0.0
4835,ANTAYA SCIENCE AND TECHNOLOGY,1855160.0,2.0,0.0,0.0
4836,AMERICAN ASSN ON HEALTH AND DISABILITY,1856285.0,2.0,0.0,0.0
4837,TING THERAPEUTICS LLC,1856368.0,5.0,0.0,0.0
4838,"PREEMIE-PACER, LLC",1857143.0,3.0,0.0,0.0
4839,UNIVERSITY OF NORTH CAROLINA SYSTEM,1858939.0,2.0,0.0,0.0
4840,"TOPOGEN, INC.",1860519.0,6.0,0.0,2.0
4841,"CONVERGENCE MEDICAL DEVICES, INC.",1860965.0,5.0,0.0,1.0
4842,"NANOVIS, LLC",1862955.0,4.0,0.0,1.0
4843,"CYTONUS THERAPEUTICS, INC.",1863446.0,5.0,0.0,0.0
4844,"POLGENIX, INC.",1865561.0,3.0,0.0,14.0
4845,"CELL BIOLOGICS, INC.",1865800.0,4.0,0.0,3.0
4846,HUMAN BIOMOLECULAR RESEARCH INSTITUTE,1865800.0,3.0,0.0,0.0
4847,"SCICRUNCH, INC.",1867577.0,4.0,0.0,6.0
4848,"SUSTAINABLE WORKPLACE ALLIANCE, INC.",1869026.0,6.0,0.0,0.0
4849,"ORPHI THERAPEUTICS, INC.",1869380.0,4.0,0.0,0.0
4850,SPECTROS CORPORATION,1869957.0,4.0,0.0,0.0
4851,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",1870596.0,2.0,0.0,1.0
4852,"SOCIETY FOR PREVENTION RESEARCH, INC.",1870882.0,11.0,0.0,3.0
4853,"CELL DATA SCIENCES, INC.",1871031.0,4.0,0.0,2.0
4854,KHON KAEN UNIVERSITY,1871515.0,7.0,0.0,57.0
4855,SEIU EDUCATION AND SUPPORT FUND,1871894.0,5.0,0.0,1.0
4856,"NIRMIDAS BIOTECH, INC.",1872451.0,5.0,0.0,0.0
4857,"BIOCIRCUIT TECHNOLOGIES, INC.",1876794.0,3.0,0.0,0.0
4858,UNIVERSITY OF NEWCASTLE,1876859.0,8.0,0.0,8.0
4859,"OMICSCRAFT, LLC",1877923.0,6.0,0.0,0.0
4860,"PARTEK, INC.",1878600.0,4.0,0.0,1.0
4861,"IF, LLC",1879007.0,3.0,0.0,1.0
4862,"SPINEX, INC.",1881342.0,2.0,0.0,0.0
4863,RADBOUD UNIVERSITY NIJMEGEN MED CTR,1881513.0,6.0,0.0,27.0
4864,LOUISIANA TECH UNIVERSITY,1882918.0,9.0,1.0,16.0
4865,"SAPIENCE THERAPEUTICS, INC.",1884180.0,5.0,0.0,0.0
4866,"PREMITEC, INC.",1884494.0,4.0,0.0,5.0
4867,"ARTISIGHT, INC.",1884545.0,3.0,0.0,0.0
4868,"VIRTUAL PHANTOMS, INC.",1884900.0,6.0,0.0,10.0
4869,"BALANCE THERAPEUTICS, INC.",1885948.0,2.0,0.0,0.0
4870,"REPROTOX BIOTECH, LLC",1886977.0,4.0,0.0,12.0
4871,DOSE SAFETY COMPANY,1888845.0,3.0,0.0,0.0
4872,"SIMERGENT, LLC",1889237.0,3.0,0.0,0.0
